ID,Screen_Nmae,Favorites_Count,Freinds_Count,Followers_Count,Location
2979862834,KRUMPSI7Y,8064,943,41,
1004834522,Quiiiieet,480,237,19,Ireland
2762178643,FireDevil121,818,1380,33,Behind you
21635763,Medr,42427,1508,816,架空/文字列/渦
996270056,ItsVenumm,2585,313,56,"Las Vegas, NV"
40328833,g3nuinejoe,26403,730,6619,Santa Monica
598901737,shahlxrd,38111,782,425,
58156520,QewWyuki,21098,1303,1180,"MIAMI,CHIBACITY"
170659282,enzyutuheika,1924,43,1415,
827724297158352896,cancerk1d,2576,200,26,"Sydney, New South Wales"
37087263,RV_Maknae,199,267,98,TWICELAND🍭
3551898434,josh_simsNE,25207,379,155,
378184367,_SonOfVegeta,20663,405,540,hyperbolic time chamber
722078332976828416,Tylerreyy,2283,100,8,"Delaware, USA"
832643907296964610,Blanc_Laing,3800,147,49,アジール操縦席
2927222063,CorvixWasTaken,5513,392,71,
896213744,GregoryArruiza,11520,456,31,
1019068026673647622,StensonWest,88,67,11,"New Orleans, LA"
147531006,chzzzz_,30859,214,131,新加坡
2270083934,adorabeep,4340,594,127,Youtuber
1703584646,Neivydis,35332,361,1413,
2805679116,TheMrPixel,13540,143,136,
1265451672,ProxyCC,1911,102,41,
841672786863046658,tu199910,41,61,3,
389773073,therealsaltbae,21,14,18,
2601809962,quenting0411,995,287,437,Amegakure no Sato
1097052698,BrotherBurtis,232,93,13,
2879914707,ArionAgain,15995,433,54,Germany
2430627823,Retortijensis,2252,424,11,"Santiago , Chile"
2881388862,doritonchan16,114,500,467,
228385589,Baguette_HK,122590,674,293,Hong Kong
275942154,Jaziio,2375,896,36,"UAE, Dubai"
3303843370,Lufty,9267,881,1428,United States
1544279162,backtobackcome,2461,364,131,
2191852392,Eidelweiss,26604,719,6469,"Los Angeles, CA"
79228220,jeccasica,9579,159,2087,usa
805205098209116160,BarcodelIIl,977,33,128,Summoners Rift
1695133332,Isaac_niv,935,413,62,
2397572430,heylcu,1369,156,11,"Marseille, France"
728906812024619008,Nem0_Zenixh,11013,305,105,"Essonne, Ile-de-France"
4737962619,AvaCrunch,1049,153,23,
191000193,Phe0nise,476,120,64,France
1185918666,Eyeshield_78,19433,223,380,"France, Yvelines"
901919154877411330,Kskak20,11094,599,21,
898994539,Sardoche_Lol,6845,193,120853,Paris
164160438,bharshavardhan,1240,0,31,
1121250764,LoLKetsu,8296,341,223,existential crisis
769271096839442432,Corkiodol,15112,428,50,
973014176657526784,aric_de,1391,80,1,
3305700995,LeMadAuk,1491,401,38,
2438829678,Blaccback,43,103,13,Sweden
1120547150,ChiefBool,33828,433,1761,https://anilist.co/user/bool
808847405542211584,ThomasBaker_TGH,13675,1098,254,"Williamsburg, VA"
909495211105042432,ahrenge,4137,198,39,
865903562169176065,iHateGriffith,14426,660,30,
447251622,MattressLoL,42990,184,196,Canada
860677232,toxic__goddess,2853,73,78,United States
873009936,JacobBolen,290,82,11,"Media, PA"
2917922901,BambinoAfk,13100,693,22,"Salon-de-Provence, France"
2300255594,Fumasca_Gz,15334,868,158,Lugar perdido de Galicia
880794354385772544,rifqimuzakki94,713,59,14,
777326283931779072,qwerdf123456t,2280,153,0,
903055434168270849,dearrdaniel,15,35,9,pittsburgh
2941498593,EllRoukino,107298,982,261,"California, USA"
2453763882,SofyanDoetNiets,48429,184,58,"Dieren, The Netherlands"
729910102426259456,dannyswagster27,11057,120,75,
983556372020129792,_GiancarloM_,2299,535,16,
311516185,Lerouxske,11228,787,296,houston texas
377575797,BoydSantos,1718,207,137,Canada
292036648,matthochadel4L,69306,456,931,"Houston, TX"
2496803690,Blue_Moon_Tim,634,529,60,
343651387,Liqwify_,10782,448,211,"La Feria, TX"
1005909408637911040,IKandy320,6573,1027,33,"West Virginia, USA"
1093408416,Kakashi_53,10179,126,25,
3411807657,Alch3nda,6136,811,16,United States
1588967725,BladedFive,1048,513,76,Playing osu! or League
913015014025564160,SuperSpaceGamng,7188,133,33,United States
715455682946998273,z3arca9,2565,45,15,"Death's Door, Hell"
4468291229,theRealThomasS_,28183,299,130,
725138775291092994,mercury_oce,4509,155,51,"Perth, Western Australia"
721925394887127040,classification0,3086,384,56,
1042390926553837575,_Miishkebab,467,50,19,
259868925,_Byaku_,8988,475,396,대한민국 서울
3803560043,xDearS69,47601,993,471,
57341962,BrianSanchezIzq,1004,197,193,Doceavo arpon
767163083030614017,kyleziegler15,1558,161,11,
2382677072,Rainnhdx3,7309,234,106,"Darmstadt, Germany"
3073239343,cole1234050,7160,554,131,"Remington, VA"
390635247,Mkman1,303,170,17,Canada
541915304,ParkerTriestram,80339,356,406,
899146067501088768,TasteMyEroge,3058,237,60,"Clarksburg, MD"
948015554119524354,tsumugi_sama,203,80,9,
893188396021157889,remy_guillaud,4880,134,16,
3240578220,JasonSchoel,1111,32,10,
399627737,LeSaltGod,52243,1302,742,"California, USA"
171261555,FerAlvarez7,2670,642,320,"Santa Tecla. "
2374099081,BogglesTheOwl,8539,692,247,"London, England"
778395909197402113,__Sampai,55067,673,66,"Boulder, CO"
